,q,GRB,Pre-peak slope,APP_neg,APP_pos,Intermediate slope,APR_neg,APR_pos,Post-break slope,APB_neg,APB_pos,Peak time,P_pos,P_neg,Break time,B_pos,B_neg
31,1.2,070724A,0.4726093195948116,0.005283196259590395,0.004367786857915501,-0.7484180057428063,0.00549480676081715,0.004980003643945019,0.0,0.0,0.0,0.004331494178670717,0.00739321624865266,0.002791679671650819,174590.2922639561,35067.685503958084,29662.70313483232
32,1.4,070724A,0.4728265510195917,0.006756039529425162,0.003498756994709473,-0.739437230698436,0.006134927550445757,0.005346591159368752,0.0,0.0,0.0,0.003809218441777839,0.007185932533201588,0.0023652174932603963,215405.9490459475,43265.796619462926,36597.239383543
33,1.6,070724A,0.4726558214321612,0.006989794663023741,0.004426731496877834,-0.7319657400222177,0.006309514034239627,0.005887155854558124,0.0,0.0,0.0,0.0034592701998958234,0.006273254464427229,0.002181301858914075,261715.51057478905,52567.397060479416,44465.18414794881
34,1.8,070724A,0.4717186408707801,0.0061933729092157885,0.00480931420198355,-0.7278100631995973,0.007618314906675638,0.006564669103673482,0.0,0.0,0.0,0.0031414712752210294,0.005362024169629,0.0019882457960260754,313793.1397792109,63027.55437536264,53313.11741517292
35,2.0,070724A,0.4709712151352785,0.006210127993525105,0.005046069712883405,-0.6996785226658468,0.008937824257508553,0.007587321805615166,0.0,0.0,0.0,0.002945996079708872,0.0050283770880317265,0.0018920526277386314,371906.62572911696,74700.05587818933,63186.536260569876
36,1.2,071227,0.2039876403219844,0.013451862019803307,0.045758841505067066,-0.9229534923608322,0.03477862974033019,0.041094078637688436,0.0,0.0,0.0,0.26442173682561876,0.6317985974702263,0.2367937604093658,8977940.951600567,10864686.07515654,5796924.593860144
37,1.4,071227,0.20991756075039936,0.014979479969918719,0.04848949301903316,-0.9133318131276339,0.03204960881796115,0.040095844914608714,0.0,0.0,0.0,0.2401296350908789,0.6003242032798601,0.21528809786139336,11076800.812236503,13404628.5435341,7152127.575343023
38,1.6,071227,0.21663676692724043,0.016047095558759716,0.051530346178096376,-0.9006974775444327,0.03184023580669737,0.03686785007399085,0.0,0.0,0.0,0.22162850289803393,0.517486483415368,0.19884364673115187,13458173.244283732,16286454.570426438,8689744.774308234
39,1.8,071227,0.22433621454906122,0.017033538844130336,0.05565418062416744,-0.8863429251796506,0.031017657160224532,0.034910777618517574,0.0,0.0,0.0,0.19803546646047165,0.4731779295497217,0.1779979249738574,16136156.503454745,19527225.208401136,10418879.22737752
40,2.0,071227,0.22902417321094165,0.017096487198106664,0.05666198975590914,-0.8624778355239257,0.02997151246628782,0.02920298118753295,0.0,0.0,0.0,0.1857128895106062,0.44373486285026253,0.16650079327339212,19124521.083090875,23143604.867266614,12348422.33982413
41,1.2,090510,0.16883170150985158,0.0034553725290967785,0.005072250138347667,-1.0629914835120484,0.016535589429331532,0.014319395745423735,-1.8859215154708393,0.030683818629361426,0.030486433105880284,2.0659835668250266,0.20899995524759163,0.24910874752768253,42986.91377699513,3966.590534565192,3931.984489061091
42,1.4,090510,0.17149303729030138,0.004416789125863907,0.0054766160169749944,-1.0490137766651266,0.017568598241040068,0.014612537560041217,-1.7919788071996965,0.035976189074501175,0.031677739162324636,1.9374296166948888,0.19599512294614652,0.17798929058426127,53036.37927755275,4893.898666959743,4851.202432376071
43,1.6,090510,0.1745857233318016,0.005394656717574026,0.00622109426741585,-1.0290053174210272,0.016823275148570627,0.014446552259449463,-1.6939779766852323,0.03655294281341104,0.03213558926150428,1.816874819297344,0.18379950451744387,0.11305338467507875,64438.53172644776,5946.025139962323,5894.149753589867
44,1.8,090510,0.17874280895218553,0.006118847862010057,0.007236852428779417,-1.002251303954912,0.013160135735976075,0.01323789966079214,-1.6033848146497658,0.03202409334998135,0.030935174771117735,1.7038214346222653,0.17236274736356538,0.205440561292479,77260.87440822912,7129.19877685931,7067.000933363815
45,2.0,090510,0.18147235908301124,0.00655912457879429,0.007338776927007212,-0.9212446086548558,0.011775804313242433,0.010724836398009807,-1.5334040491711933,0.030410812892222694,0.02771953693548279,1.5978026940793784,0.16163763203124915,0.14678818036133956,91569.34126177231,8449.503590548411,8375.78690535156
46,3.0,090510,0.4585925780889326,0.09092425855965808,0.06891575021976015,-0.006815715467940954,0.059228098082528456,0.007504502567998412,0.0,0.0,0.0,9432.096431217136,449.8846177817213,412.7017126631854,155092.54459093956,7397.4805763393815,6786.079769300297
47,1.2,110112A,0.34752717739908084,0.059576913069556536,0.09931006526613806,-0.9813479687508672,0.02167351433662723,0.03031133760767113,0.0,0.0,0.0,2.4259351312166606,1.1409141158251566,0.7221136965943953,148725980.11145145,209681721.8080865,93571433.50521615
48,1.4,110112A,0.3536825957208549,0.06039830283573072,0.10069700506201534,-0.9795893537157588,0.020914232686425005,0.032031395728444156,0.0,0.0,0.0,2.2749835220726182,0.9937903202845546,0.6771808279932399,183495087.14528796,258701040.57889727,115446530.1387321
49,1.6,110112A,0.36018487416504547,0.06109957445971714,0.1007649162538723,-0.9742750928259996,0.02191069234741405,0.030724010624779696,0.0,0.0,0.0,2.0659835668250266,0.9024920183629059,0.6608380817911963,222944215.9461933,314318500.58557665,140266077.66947585
50,1.8,110112A,0.36814347480815496,0.06160342676799302,0.100778081441871,-0.9663084325211476,0.023900304885884904,0.03220865337642176,0.0,0.0,0.0,1.8761841819858307,0.7343634666168746,0.6001276950212584,267306914.15165025,376863369.5909917,168177013.35222054
51,2.0,110112A,0.37395055666552474,0.06223881182636748,0.0993492335535206,-0.954640779957449,0.022206489450007805,0.03247271457031331,0.0,0.0,0.0,1.7038214346222653,0.7442872586955422,0.5071664030335366,316811299.7822433,446657260.39806944,199322858.38063028
52,1.2,111020A,0.4117287807607943,0.030223554804874153,0.04416205038937465,-0.7394399939238671,0.004725969094014459,0.00396804781868243,0.0,0.0,0.0,0.26442173682561876,0.11206723542680941,0.0663862703651471,861948.4109177112,162023.95774960273,167258.0507383668
53,1.4,111020A,0.42025227823302336,0.0315415869988383,0.04115385500797836,-0.7305928916925737,0.0043621107333875475,0.003699620284247307,0.0,0.0,0.0,0.2401296350908789,0.11293265297070357,0.06028744485685075,1063454.4055958777,199901.86129288538,206359.57868953724
54,1.6,111020A,0.4290751179241523,0.03187770849354071,0.03942439137118975,-0.7239554662766606,0.004025375902049211,0.003395463647466679,0.0,0.0,0.0,0.2180692190480008,0.09282753110449604,0.054748910992836575,1292083.6864824279,242878.2395511209,250724.28471885133
55,1.8,111020A,0.4399626224638903,0.032921973672552896,0.03374657920104385,-0.7221077763671374,0.0043697394441361,0.004607847245739705,0.0,0.0,0.0,0.19177522963603758,0.09019163939789057,0.043646499790880366,1549189.7898919375,291207.5222649614,300614.8177768872
56,2.0,111020A,0.4468077697666469,0.032577295758008995,0.02947761309741609,-0.6898494744713681,0.0065252895022450685,0.005701056534152427,0.0,0.0,0.0,0.17984219023402814,0.07622072721623957,0.04075476442905693,1836094.7845389477,345138.22408195795,356287.7206373601
57,1.2,111117A,0.2857293023128816,0.033640977946202855,0.04555473724258663,-0.9501975285961434,0.03032590414592562,0.025248453835631235,0.0,0.0,0.0,2.4259351312166606,1.4769131899588381,0.6664948051060331,2991231.8005182906,31386775.115290895,2661651.9758379897
58,1.4,111117A,0.2913298775512292,0.034304683102909295,0.04540941336659954,-0.9434061504893791,0.029557192357035134,0.026670886945845407,0.0,0.0,0.0,2.2030674361592815,1.3637818108825357,0.6052647420799031,3690520.9130008514,38724364.301879026,3283892.033461976
59,1.6,111117A,0.2978915275157728,0.034885986295148386,0.04577127707649964,-0.9375736226503688,0.02856764266881895,0.030495313716912276,0.0,0.0,0.0,2.000674323814788,1.238492842994868,0.5496598100967491,4483936.350462304,47049614.0883676,3989887.391766782
60,1.8,111117A,0.3044719935730798,0.034004919576170634,0.04733567990421761,-0.9337625403609798,0.028589651858904164,0.03434868684651837,0.0,0.0,0.0,1.816874819297344,1.1247140194346117,0.4991632352437758,5376175.30918032,56411811.80956441,4783817.700671611
61,2.0,111117A,0.3091746636443193,0.034942775833292194,0.04732160914661748,-0.9082036384413642,0.0267616382778314,0.034832832675525616,0.0,0.0,0.0,1.7038214346222653,1.0372892159182348,0.5071664030335366,6371825.782973697,66859098.946913905,5669765.439779291
62,1.2,160821B,0.31249645749264376,0.0019076031748067601,0.002287282155022885,-0.937807580442493,0.006047159719890893,0.00542261424095869,0.0,0.0,0.0,6.781004590741643,0.22135650535359996,0.2143590509535711,186876611.30045277,108256525.09115434,79087973.16937652
63,1.4,160821B,0.3175957882465561,0.0017491576384316976,0.0022951616069097347,-0.9344293297463993,0.005181394291695063,0.005541132262975035,0.0,0.0,0.0,6.158041988046604,0.2010207537915205,0.1946661469736064,230564559.40176648,133564697.24228042,97577131.56762406
64,1.6,160821B,0.32365223855354175,0.0017847280271509613,0.0023904412552736565,-0.9298057778830457,0.005610820641633207,0.0054874330780628755,0.0,0.0,0.0,5.592310198155667,0.18255322286717046,0.1767824060097869,280133030.91927695,162279422.1253109,118554983.84214449
65,1.8,160821B,0.3304597635957579,0.001986431353817042,0.0024106641053712186,-0.9256069811132834,0.005147612237395793,0.00618212887644054,0.0,0.0,0.0,5.078551496255111,0.16578228143424845,0.16054162246734194,335875482.2554046,194570697.31335425,142145723.55530766
66,2.0,160821B,0.33489693389438013,0.0020281548266463667,0.002430727763734819,-0.9110985230413391,0.007085241522548413,0.00672311864443309,0.0,0.0,0.0,4.762543244172906,0.31600825208220495,0.15055206589007764,398078547.4106884,230604568.20211554,168470656.9636123
