Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
201717,29110,ACIS-S,NONE,15.00,13.95,GJ 2022 B,Kastner,21.117,-33.919,archived,VFAINT,TE,0.46853363796404857,6534,2023-12-18 00:12:24,2023-12-18 12:31:03,20201074,STARS AND WD,CCT,24,20,None,
201718,29111,ACIS-S,NONE,10.00,9.95,Gaia DR2 146989143968434688,Agüeros,71.791,24.020,archived,VFAINT,TE,2.866400731885881,28520,2023-12-15 14:16:19,2023-12-16 06:51:03,20201075,STARS AND WD,CCT,24,20,None,
201719,29112,ACIS-S,NONE,10.00,9.95,Gaia DR2 154257259425702144,Agüeros,71.924,26.150,archived,VFAINT,TE,2.7351068332341715,27214,2023-12-15 07:17:10,2023-12-15 18:41:03,20201075,STARS AND WD,CCT,24,20,None,
300470,23325,ACIS-S,NONE,34.00,31.91,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,4.157266991407269,132643,2021-04-29 21:38:04,2022-05-02 20:51:03,22300630,WD BINARIES AND CV,GO,22,22,CXO-HST,
300470,24341,ACIS-S,NONE,36.00,35.60,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,4.207909546134615,149814,2021-04-30 18:00:36,2022-05-02 20:51:03,22300630,WD BINARIES AND CV,GO,22,22,CXO-HST,
300541,27322,ACIS-S,NONE,17.60,18.83,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,4.858040347634159,91453,2022-10-03 18:33:27,2023-04-11 09:02:45,24300487,WD BINARIES AND CV,GO,23,24,CXO-HST,
300541,27333,ACIS-S,NONE,30.00,27.21,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,4.9575921935695,134917,2022-09-26 11:53:07,2023-04-11 09:02:45,24300487,WD BINARIES AND CV,GO,23,24,CXO-HST,
300541,27467,ACIS-S,NONE,18.70,19.81,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,4.756538924790017,94241,2022-10-04 06:14:58,2023-04-11 09:02:45,24300487,WD BINARIES AND CV,GO,23,24,CXO-HST,
300541,27468,ACIS-S,NONE,13.70,14.88,R Aqr,Karovska,355.956,-15.284,archived,VFAINT,TE,5.112982573787081,76057,2022-10-09 17:27:37,2023-04-11 09:02:45,24300487,WD BINARIES AND CV,GO,23,24,CXO-HST,
300543,27732,ACIS-S,NONE,25.00,24.79,MASTER OT J053141.25-141159.0,Mukai,82.922,-14.200,archived,VFAINT,TE,4.174165901048391,103466,2023-03-11 17:52:59,2023-03-12 09:21:08,20301071,WD BINARIES AND CV,CCT,24,20,None,
300545,27822,ACIS-S,NONE,15.00,13.93,MASTER OT J212624.16+253827.2,Mukai,321.601,25.641,archived,VFAINT,TE,3.976916857834453,55398,2023-05-01 06:55:05,2023-05-01 12:11:10,20301071,WD BINARIES AND CV,CCT,24,20,None,
402202,23424,ACIS-S,NONE,11.30,10.44,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.308142713519947,44982,2022-07-11 00:38:34,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24280,ACIS-S,NONE,30.00,28.70,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.050155286514756,116233,2021-08-07 17:48:23,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24281,ACIS-S,NONE,17.00,16.35,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.075150190683107,66622,2022-08-16 07:22:22,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24282,ACIS-S,NONE,30.00,28.93,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.081629459966811,118101,2021-08-08 07:21:23,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24283,ACIS-S,NONE,18.50,18.83,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,3.851357000463414,72535,2022-03-07 13:30:54,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24284,ACIS-S,NONE,10.90,10.46,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.0739434814605895,42597,2022-07-02 14:49:42,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24285,ACIS-S,NONE,33.50,33.14,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.166323698876611,138073,2021-07-18 06:51:44,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24286,ACIS-S,NONE,30.00,27.90,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.416269809412598,123211,2022-05-19 13:02:26,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24287,ACIS-S,NONE,30.00,29.51,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.134152551733358,121996,2021-08-13 09:29:59,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24288,ACIS-S,NONE,33.00,31.13,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.068273101334813,126648,2021-07-31 12:48:41,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24289,ACIS-S,NONE,29.00,28.62,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.072400871423649,116546,2021-07-26 07:13:00,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24290,ACIS-S,NONE,20.00,19.82,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.039634124732411,80065,2021-07-31 00:29:14,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
402202,24291,ACIS-S,NONE,28.00,27.71,hete j1900.1-2455,Degenaar,285.036,-24.920,archived,VFAINT,TE,4.095571783972358,113488,2021-07-15 01:42:01,2023-09-06 06:44:14,22400191,BH AND NS BINARIES,GO,22,22,None,
