ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
10542,149.25050213067678,69.57207114562992,9.856690658907942,0.1585289123309633,112.18182373046875,yes,yes,yes,no,yes,no,yes,no
11800,148.87019697748872,69.7287064248585,6.051207310814027,0.5202992454188718,7.578289031982422,no,yes,yes,no,no,no,no,no
11361,215.18519625178982,39.72183599031965,1.696361662710297,0.06331099591483433,43.678401947021484,yes,no,no,no,no,no,yes,no
12951,225.31366365505602,1.7972846638533255,3.674619841783884,0.1857633784395902,16.626035690307617,yes,no,no,no,yes,no,yes,no
12953,225.33860907729942,1.7712649618248877,3.498682993915041,0.14729140408089855,24.06338119506836,yes,yes,yes,no,yes,no,yes,no
12993,204.25678136580058,-29.85793457449421,1.484907679754533,0.04595244915461907,41.099273681640625,yes,yes,yes,no,yes,no,no,yes
12995,204.25681349875035,-29.857809624742984,1.44570091613265,0.02513234119515391,106.4969711303711,yes,yes,yes,no,yes,no,no,yes
13202,204.19090914845327,-29.830589664397138,3.822626484949254,0.1851827077294471,11.001904487609863,no,no,no,no,no,no,yes,yes
13812,202.4165433721004,47.21029684069274,3.846761585446433,0.030751436915123796,275.10247802734375,no,yes,yes,no,no,no,no,yes
13814,202.51804244499994,47.2224565077367,2.582838841281595,0.019676885511017945,270.2528381347656,no,yes,yes,no,no,no,no,yes
13815,202.43049778359074,47.19304040149377,3.250570012974132,0.04444503589362041,133.271728515625,yes,yes,yes,no,yes,no,no,yes
13816,202.5187368221136,47.16374175636814,1.092774767893339,0.07447231551669138,29.159337997436523,yes,no,yes,no,yes,yes,no,yes
15553,202.51870805330043,47.163741484185344,1.142758503919099,0.11983795643476851,10.793578147888184,yes,no,yes,no,yes,yes,no,yes
13822,151.31029152311135,-7.721800175710833,0.1755437962657358,0.05579844590474722,34.804779052734375,no,no,yes,no,yes,no,no,yes
16302,209.2309137570113,-32.609685308595836,4.257011636879898,0.047494829433660665,266.9073181152344,yes,no,no,no,no,no,yes,no
19333,149.11732467373605,28.856600828856692,4.323906321911604,0.13719317004696108,52.751651763916016,yes,no,no,no,no,no,no,no
19439,236.4555715428686,9.029346236631623,3.952241444151617,0.19496032076307637,19.236007690429688,yes,no,no,no,yes,no,yes,no
379,148.76574949041165,69.7248229605404,1.271618945189501,0.10966269573960002,11.335463523864746,no,yes,yes,no,no,no,no,no
1622,202.5178938126774,47.222474723880296,3.093982134113837,0.10384129366442084,37.879974365234375,no,yes,yes,no,yes,yes,no,yes
2194,315.8045171480411,76.61342014142292,5.277373318412097,0.41313167906363224,9.584153175354004,yes,no,no,no,no,no,yes,no
3009,3.6592046544339913,79.22682930123182,5.794228762004968,0.5236456053478991,10.084880828857422,yes,no,no,no,no,no,yes,no
3013,170.78498744499214,1.6453991785099755,3.553632798346576,0.19139538950024002,11.38365650177002,no,no,no,no,no,no,yes,no
3130,216.4463633020848,35.665163615492865,4.23125395136365,0.0807324833889455,72.92823791503906,yes,no,yes,no,no,no,yes,no
3482,216.4463230240096,35.66523287981392,4.508939514929232,0.059283761057501855,122.75537109375,yes,no,yes,no,no,no,yes,no
3956,146.48588589041086,-14.405112416451535,4.121120238175615,0.1890326780437892,25.248308181762695,yes,yes,no,no,no,no,yes,no
4871,174.7441930662675,-1.961539353003486,4.30712213966781,0.11203991854205965,66.03529357910156,yes,no,no,yes,no,no,yes,no
4908,153.94286749125274,-33.58387410496785,7.299962716870687,0.5910750511173872,11.614021301269531,yes,yes,no,no,no,no,yes,no
6858,229.5004401252426,42.64060015471245,6.291243551058178,0.6002384236356183,8.273454666137695,yes,no,no,no,yes,no,yes,no
7800,201.46990022575673,-43.096156911635944,7.473913865773431,0.49054751197920865,13.817695617675781,yes,yes,yes,no,yes,no,no,yes
8490,201.24334997451078,-43.04058362089512,3.782233480541346,0.18944898660358345,9.574898719787598,no,no,no,no,no,no,no,yes
10332,223.81916536863295,51.838273278311746,5.792048016393643,0.5002933624735075,8.997278213500977,yes,no,no,no,yes,no,yes,no
10348,237.20298936538845,-4.907877638411978,5.496912922181881,0.4204999256834917,5.716261386871338,yes,no,no,no,no,no,yes,no
11390,201.86078308010119,-42.61085105533608,3.769425339289945,0.18073727637334572,12.667719841003418,yes,no,no,no,no,no,yes,no
11501,122.26801767599507,-10.580872992424775,7.530599341380758,0.8519258208570272,7.9577956199646,yes,no,no,no,no,no,yes,no
12119,130.10477626245608,29.88249220834511,7.310455542124048,0.5661929916600981,11.723057746887207,no,yes,yes,no,no,no,no,no
12753,143.74161796446805,17.10397233805424,4.110895065916529,0.11159930331042422,58.03733825683594,yes,no,no,no,yes,no,yes,no
13134,218.10829786715337,34.091973861654274,7.754267849576121,0.4510083572326734,16.96730613708496,yes,no,yes,no,yes,no,yes,no
15004,175.73979208613247,22.050459288833597,7.741563014235004,1.1329534780088848,4.376272201538086,no,no,no,no,yes,no,yes,no
15012,249.58307626977557,62.54996991577395,1.789744469971964,0.11362253297647118,15.186463356018066,yes,no,no,no,no,no,yes,no
15063,258.98725531096744,-10.363157744238341,9.749551632726346,1.0894485882035003,8.311249732971191,yes,no,no,no,no,no,yes,no
16093,233.73480744808168,23.468395083131767,2.197180864536183,0.16527628384004028,9.558987617492676,no,no,no,no,no,no,no,no
17664,218.12442234981964,-44.25852668702381,5.226608348868664,0.3158033495263688,15.533129692077637,yes,yes,no,no,no,no,yes,no
17607,251.03905154492918,57.709369214896846,9.286349028960482,0.321348166164573,49.70157241821289,yes,yes,yes,no,no,yes,no,no
21047,162.15128502042435,-25.161294090963526,2.999073936293094,0.13926728977083727,16.065271377563477,yes,yes,yes,no,no,no,yes,no
21402,342.3697767507704,71.49002078819234,5.020640395724952,0.4673760227767275,9.432130813598633,yes,no,no,no,no,no,no,no
21424,115.80170836506706,44.843438574245624,10.03351055125047,0.8712135449865861,12.553956985473633,yes,no,yes,no,yes,no,yes,no
22928,175.16154283380843,-26.486118818034598,3.059100849230948,0.13864225426158894,7.283418655395508,yes,no,no,no,no,no,yes,no
22558,289.5899791966488,49.60696220308787,4.243280609000192,0.14811883778299084,43.53049850463867,no,no,no,no,no,no,no,no
22559,289.7088380170397,49.60575706037781,1.66949071974723,0.09326936796176105,19.90523910522461,yes,no,yes,no,no,no,no,no
326,237.50393480331127,21.40678393409361,3.508022102078979,0.15832683176280465,12.742596626281738,yes,no,no,no,yes,no,yes,no
898,175.22772778200286,-26.49110536732329,2.109758522880954,0.054029889086026066,29.803226470947266,yes,no,yes,no,yes,no,yes,no
900,230.4653878821838,7.780807089814344,2.041739805199698,0.05794123023324799,33.04140090942383,yes,no,no,no,yes,no,yes,no
2207,234.99141858977956,66.23065992724318,5.084760677896753,0.2592833764152984,15.3465576171875,yes,no,no,no,no,no,no,no
2227,137.69049839050024,54.339231613670314,0.999242287255665,0.10285518420997392,25.924474716186523,yes,no,no,no,no,no,yes,no
3214,238.11093863445313,20.199880497244784,4.868652141868343,0.347787801683844,14.561261177062988,no,no,no,no,no,no,no,no
3241,244.99537571054302,29.389175929613113,7.377253658050764,0.5401348729136654,21.480506896972656,yes,no,no,no,yes,no,yes,no
4197,115.29814913870283,74.24730440974102,2.453699837875202,0.031455311715228404,174.09738159179688,yes,yes,yes,no,no,no,yes,no
4199,109.10823293996742,47.13092292120017,4.072751539716783,0.17034688529794384,28.862590789794922,yes,no,no,no,no,no,no,no
4207,239.82382024972716,65.09775297629007,6.689588449096342,0.5132433578842726,8.332148551940918,yes,no,no,no,no,no,no,no
5807,229.1188130296488,7.04492770442401,4.100849492759992,0.08477520470781887,28.12461280822754,yes,yes,yes,no,yes,no,yes,no
6112,216.71552106311125,44.15467167351932,4.57215185759656,0.21020326681891946,18.63924217224121,yes,no,yes,no,yes,no,yes,no
6932,241.13862497260806,43.0608106552112,7.148499628751503,0.22750110225580475,31.03900718688965,yes,yes,yes,no,yes,no,yes,no
6942,155.515809695247,38.555977464774706,2.298326130893723,0.10364596088210178,19.939956665039062,yes,no,no,no,yes,no,yes,no
6945,172.79773116714125,36.623418870089836,14.26705768990318,0.35690872861273876,54.858543395996094,yes,no,no,no,yes,no,yes,no
6949,263.3220172804969,43.81963802614086,3.926723242425565,0.19373179077846367,19.312686920166016,no,no,yes,no,no,no,no,no
9774,116.06210303173263,37.94598465919332,2.506251929400343,0.04890057875099423,90.20996856689453,yes,no,yes,no,no,no,yes,no
10461,219.66384391054498,34.22783550902546,5.516428711392384,0.37837659304951865,12.155092239379883,yes,no,no,no,yes,no,yes,no
10475,136.6648391109298,2.959591438809165,5.541670897138346,0.37772733293576405,10.080682754516602,no,no,no,no,no,no,no,no
11736,187.6231029750491,13.756991698712392,6.607333163185162,0.4057054091482877,12.169886589050293,no,yes,yes,no,no,no,no,no
12202,190.75429831939084,13.204612287617689,4.472197341254025,0.0,26.923824310302734,no,yes,no,no,no,no,no,no
12884,212.12046698241707,-27.057995046513206,12.96067926361244,0.4060499533637473,33.672420501708984,no,no,no,no,no,no,no,no
14021,207.5050710206146,9.56944753398373,8.93932063878823,0.5622609882393382,20.144237518310547,yes,no,no,no,unknown,no,yes,no
