ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
12975,190.9430722899702,11.503230307299447,3.362873152386515,0.2589335342558849,7.041614532470703,no,no,yes,no,no,no,no,no
13202,204.19090914845327,-29.830589664397138,3.822626484949254,0.1851827077294471,11.001904487609863,no,no,no,no,no,no,yes,yes
13812,202.44213962528724,47.178456250271985,2.33488614301698,0.01897483354287128,323.5163879394531,no,yes,yes,no,no,no,no,yes
13813,202.44220947124563,47.17843997828299,2.361460574601052,0.02039934090027542,252.84051513671875,no,yes,yes,no,no,no,no,yes
13813,202.41666435363896,47.21028981668627,3.873702558092737,0.027690711802391396,309.9554748535156,no,yes,yes,no,no,no,no,yes
13813,202.51805228694306,47.22248621151024,2.686831339853229,0.06964608662906359,16.291053771972656,no,yes,yes,no,yes,yes,no,yes
13814,202.51883851978832,47.163772131897474,1.079522098636078,0.05928598949254261,31.233415603637695,yes,no,yes,no,no,no,no,yes
13814,202.51804244499994,47.2224565077367,2.582838841281595,0.019676885511017945,270.2528381347656,no,yes,yes,no,no,no,no,yes
13814,202.44226084434757,47.178419787084515,2.660455633416397,0.027601785280353886,164.49539184570312,no,yes,yes,no,no,no,no,yes
13814,202.41666526366726,47.21026094683014,4.122419269674158,0.0350563230367367,251.93121337890625,no,yes,yes,no,no,no,no,yes
13815,202.43049778359074,47.19304040149377,3.250570012974132,0.04444503589362041,133.271728515625,yes,yes,yes,no,yes,no,no,yes
13816,202.5187368221136,47.16374175636814,1.092774767893339,0.07447231551669138,29.159337997436523,yes,no,yes,no,yes,yes,no,yes
3013,170.78498744499214,1.6453991785099755,3.553632798346576,0.19139538950024002,11.38365650177002,no,no,no,no,no,no,yes,no
8490,201.24334997451078,-43.04058362089512,3.782233480541346,0.18944898660358345,9.574898719787598,no,no,no,no,no,no,no,yes
8490,201.4437514172914,-43.1606218936261,8.152011791795312,0.2369697493048672,48.01696014404297,yes,yes,yes,no,no,no,yes,yes
10304,241.56578627512081,0.03823815546617102,1.913484133926581,0.061243911158333754,37.15324783325195,yes,no,no,no,yes,no,yes,no
14984,196.47744313507113,-49.464566922487954,4.651541198486016,0.21874676903060578,16.627944946289062,yes,yes,yes,no,no,no,yes,no
16093,233.73480744808168,23.468395083131767,2.197180864536183,0.16527628384004028,9.558987617492676,no,no,no,no,no,no,no,no
21047,162.15128502042435,-25.161294090963526,2.999073936293094,0.13926728977083727,16.065271377563477,yes,yes,yes,no,no,no,yes,no
21047,162.05687330396194,-25.09973997903768,4.321706854735591,0.222372247968781,12.089292526245117,yes,no,yes,no,no,no,yes,no
512,164.28162084859667,-3.6967665341550897,3.893867576795176,0.16020573268248142,20.00914764404297,no,yes,no,no,no,no,no,no
2207,234.99141858977956,66.23065992724318,5.084760677896753,0.2592833764152984,15.3465576171875,yes,no,no,no,no,no,no,no
2227,137.69049839050024,54.339231613670314,0.999242287255665,0.10285518420997392,25.924474716186523,yes,no,no,no,no,no,yes,no
4199,109.10823293996742,47.13092292120017,4.072751539716783,0.17034688529794384,28.862590789794922,yes,no,no,no,no,no,no,no
5807,229.1188130296488,7.04492770442401,4.100849492759992,0.08477520470781887,28.12461280822754,yes,yes,yes,no,yes,no,yes,no
10461,219.66384391054498,34.22783550902546,5.516428711392384,0.37837659304951865,12.155092239379883,yes,no,no,no,yes,no,yes,no
12884,212.12046698241707,-27.057995046513206,12.96067926361244,0.4060499533637473,33.672420501708984,no,no,no,no,no,no,no,no
12903,148.16916320790182,51.93563063340418,2.44363429179467,0.12359290698083776,9.365983963012695,yes,no,no,no,yes,no,yes,no
17596,177.52388707175007,22.469525348349556,7.701211805577926,0.6961700177716216,8.202635765075684,yes,no,yes,no,yes,no,yes,no
3408,189.1668909944635,62.32828620722678,6.91870066069987,0.5853667050047325,4.749783515930176,yes,yes,yes,no,yes,no,yes,no
12290,162.10339330669112,-25.113268837077346,3.039939256122807,0.1128157647463595,28.541078567504883,yes,no,yes,no,no,no,yes,no
17709,284.3209219929565,-20.894212262091003,3.504523065869046,0.1538091368137833,17.87543487548828,yes,no,no,no,no,no,yes,no
17709,284.41511097091416,-20.914392503463084,5.880828330045139,0.3784861707614913,14.239683151245117,yes,no,no,no,no,no,yes,no
1866,67.90058161086097,18.2286626214718,5.663338592003966,0.35181719761715885,13.105595588684082,yes,yes,yes,no,yes,no,yes,no
1867,167.42482022127018,-76.58290937121158,1.494894060873792,0.014459824663977676,661.2672729492188,yes,no,no,no,no,no,yes,no
1867,167.83364991155375,-76.64039927274673,5.708117017836156,0.31817528533052697,11.830354690551758,yes,no,no,no,no,no,yes,no
1872,86.80864624795527,0.004391478211081963,8.139595680628288,0.03561145206987988,797.1891479492188,yes,no,no,no,no,no,yes,no
1872,86.72408768535067,0.009462366274693391,3.880624438508506,0.10044667590691461,40.850135803222656,yes,no,no,no,no,no,yes,no
1872,86.76663087537924,0.18727074908897115,8.98347056202804,0.13782154510680653,127.54805755615234,yes,no,no,no,no,no,yes,no
1872,86.65440073487666,0.11159986108673693,3.544521186877321,0.1538456369222242,11.345468521118164,no,no,no,no,no,no,yes,no
1878,85.40901062142616,-1.971643463097423,3.808144713135259,0.05068109764519267,135.4189453125,yes,yes,no,no,unknown,no,yes,no
1878,85.39761804813114,-1.9377419752346319,3.062011237441689,0.04015059953795851,109.59251403808594,yes,no,no,no,no,no,yes,no
1878,85.41151082739474,-1.9340925325516451,2.207432486471375,0.03386907157164701,135.58059692382812,yes,yes,no,no,no,no,yes,no
1878,85.447705450966,-1.9240613099292654,0.3037398870854205,0.018803427867787173,278.1632385253906,no,no,no,no,no,no,no,no
1878,85.42491868457398,-1.9067507337924265,1.446567859044237,0.03507217298855795,84.55096435546875,no,no,no,no,no,no,yes,no
1878,85.44215333408606,-1.904195838893309,0.942921773869242,0.01720406283232383,304.6353454589844,no,no,no,no,no,no,yes,no
1878,85.43775111561953,-1.9018433627988627,1.157691745148641,0.027621711816281293,132.7357940673828,no,no,no,no,no,no,yes,no
1878,85.43388313868545,-1.8965390941077473,1.544023613901709,0.03781145303837164,74.9463119506836,no,no,no,no,no,no,yes,no
1878,85.38174315877747,-1.8755872312505435,4.638226745104372,0.040176955439193474,290.9391174316406,yes,no,no,no,no,no,yes,no
1878,85.46052625588119,-2.0493392040704275,7.838320281044958,0.2869031745871534,42.52101135253906,yes,no,no,no,no,no,yes,no
1878,85.45288162901585,-1.9044621698022297,1.013853539367971,0.1437685823586759,12.358415603637695,no,no,no,no,no,no,no,no
1878,85.4438541747771,-1.8635990170689407,3.360351974281934,0.1411812405639707,21.06560516357422,no,no,no,no,no,no,yes,no
1878,85.41427511871554,-1.783531906870062,8.373060680526272,0.27371532467187487,37.68855285644531,no,no,no,no,no,no,yes,no
1878,85.43027251238199,-1.8924411910368877,1.862474649447401,0.14815836078913205,8.935100555419922,no,no,no,no,no,no,yes,no
1878,85.43966365444881,-1.907535102359543,0.7991127553314157,0.03911426387528987,51.3908576965332,no,no,no,no,no,no,no,no
1878,85.36288009934961,-1.8694931046231933,5.786604155885357,0.2871542703682237,17.187904357910156,yes,yes,no,no,no,no,yes,no
1878,85.52193293156094,-1.8957467314410286,4.810613651974159,0.2430268941386306,19.718242645263672,yes,no,no,no,no,no,yes,no
1878,85.37219725756995,-1.8584689582431573,5.71707801766427,0.3475399945037046,15.749176025390625,yes,yes,no,no,no,no,yes,no
1878,85.36233995298295,-1.9026504777627886,5.07985620974021,0.0979340071166822,88.83234405517578,yes,no,no,no,no,no,yes,no
1882,91.94120977430495,-6.416070097716933,2.358859133362789,0.03600921402642449,119.90936279296875,yes,no,no,no,no,no,no,no
1882,91.95287825528668,-6.401834267439383,1.279307368942028,0.043632412694771985,47.83475875854492,no,no,no,no,no,no,yes,no
1882,91.90500119869004,-6.381479476814601,3.365233582209779,0.10478694400187595,25.836931228637695,no,no,no,no,no,no,no,no
1882,91.94832888639803,-6.379320789031402,0.8012661247719971,0.06808684894374484,27.012008666992188,no,no,no,no,unknown,no,no,no
1882,91.94413001748939,-6.377147557648283,1.076699381974643,0.0544229230423154,27.959571838378906,no,no,no,no,no,no,no,no
1882,91.94209691556848,-6.3682451382450385,1.427749232934019,0.06102451845322248,38.08450698852539,no,no,no,no,unknown,no,no,no
1882,92.05047305756457,-6.329783446574925,6.173590130460015,0.2013015913886428,41.82037353515625,yes,no,no,no,no,no,yes,no
1882,91.94860154015576,-6.270195963811727,6.76845784965861,0.257613771694718,35.91031265258789,yes,no,no,no,no,no,yes,no
1882,91.88437518826441,-6.204495262613702,11.61492558426454,0.2738959430873202,84.86405944824219,yes,no,no,no,no,no,yes,no
1882,91.91908414810888,-6.399103559804732,2.719379333991996,0.11142063868248159,10.245452880859375,yes,no,no,no,no,no,yes,no
1882,91.91131733059603,-6.380929515758793,2.989371616044057,0.0931888238808845,29.84520149230957,no,no,no,no,no,no,yes,no
1882,91.97131205663179,-6.328995360646334,3.250932092585236,0.1011324495782898,40.71134567260742,yes,no,no,no,no,no,yes,no
1882,91.94608583256144,-6.392765106908482,1.110454715143525,0.09746767793549897,12.05010986328125,yes,no,no,no,no,no,yes,no
