,ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
163,18927,83.87398106077137,-4.997347956823227,0.2244992878987654,0.13006678604469318,11.87867259979248,no,no,no,no,no,no,no,no
164,20882,83.86747829018067,-4.977167349206278,1.443429374631733,0.04631827298510574,87.4649429321289,no,yes,yes,no,no,no,no,no
165,955,6.026701184685439,-72.07859398672593,1.027647862779551,0.03729963240647359,62.330989837646484,no,no,yes,no,no,no,no,no
166,955,6.032634047156563,-72.07820362198846,1.118975721455029,0.09027093937690843,17.57713508605957,no,no,yes,no,no,no,no,no
167,2736,6.044181529897609,-72.09145857546343,0.6434329183312555,0.07898673857221736,8.850432395935059,no,no,no,no,no,no,no,no
168,2736,6.004059211895325,-72.08149492043883,1.267571972940766,0.013525539931126021,286.6405334472656,no,no,yes,no,no,no,no,no
169,2736,6.066290812735305,-72.07680204081055,0.4977589612840888,0.03257370716796873,94.30757141113281,no,no,yes,no,no,no,no,no
170,2737,6.004099748027287,-72.08148636696356,1.277940016344859,0.013095920957229504,331.6683654785156,no,no,yes,no,no,no,no,no
171,2737,6.014530780644804,-72.08483526962539,1.064156234691555,0.014602440437779373,268.4051513671875,no,no,yes,no,no,no,no,no
172,2738,6.004044612052963,-72.08147858782534,1.252740748811235,0.009584236278388494,548.2894897460938,no,no,yes,no,no,no,no,no
173,16527,6.0663936484499645,-72.07681184921127,1.20016098617172,0.045636811542915996,44.17829895019531,no,no,yes,no,no,no,no,no
174,4613,35.60978901208967,42.30922234270746,1.170967663955939,0.03747461672874492,72.99937438964844,no,yes,yes,no,no,no,no,yes
175,2057,24.212835019435456,15.76308165301198,3.531896364509663,0.0613169459966836,102.7707748413086,no,yes,yes,no,no,no,no,yes
176,3931,11.883551020673341,-25.28932783489509,0.5364625438241578,0.021814023374806403,62.0107536315918,no,no,yes,no,no,no,no,yes
177,7060,324.1359487884658,-54.56039365071687,2.027446422602686,0.1160578466093444,12.47934341430664,no,no,yes,no,no,no,no,yes
178,10720,47.48648824931499,-20.574762620366812,2.355746076549535,0.04805928406665705,83.21817779541016,no,no,yes,no,no,no,no,yes
179,13831,11.998672349876173,-25.189591009380635,8.280040347307612,0.5268995809401857,21.396902084350586,no,no,yes,no,no,no,no,yes
180,14904,345.49250178555906,15.948703559294035,1.620122791150634,0.0841585700527913,13.364900588989258,no,no,no,no,no,no,no,no
181,15384,287.1875389521393,-63.805073038421504,7.618822016487054,0.3706287700406004,31.161090850830078,no,yes,yes,no,no,no,no,no
182,4062,76.77817721461076,-31.869820454790272,10.65992871753857,0.3709350165963833,41.93905258178711,no,no,no,no,no,no,no,no
183,6314,32.25501780455681,10.98840119364087,9.801261207633548,0.7594196370047636,12.014577865600586,no,no,yes,no,no,no,no,no
184,10234,59.83880638866042,10.474111686732842,7.138327838021123,0.46515786690743083,10.393080711364746,no,no,no,no,no,no,no,no
185,1667,314.1032017774322,-4.593125403636415,5.452388422940089,0.3734137508627484,9.906383514404297,no,no,yes,no,no,no,no,no
186,3184,104.40282447903607,-55.810764631827944,8.749989019722697,0.610418904311414,10.906020164489746,no,no,no,no,no,no,no,no
187,5353,329.1777483809539,-4.8317163775649945,3.373402161675509,0.11746257247565807,26.723567962646484,no,no,yes,no,no,no,no,no
188,5353,329.16103408715435,-4.815434386899766,2.320438115766482,0.10295649097556157,13.969606399536133,no,no,yes,no,no,no,no,no
189,5353,329.16380258334925,-4.802421299719462,1.529342340190228,0.07014076323112692,27.785167694091797,no,no,yes,no,no,no,no,no
190,5353,329.1363682570072,-4.794571030152356,2.009400539904844,0.06181211997641209,27.754358291625977,no,no,yes,no,no,no,no,no
191,5353,329.1611649891375,-4.794135962358719,1.055259545782549,0.1013618420877452,12.242781639099121,no,no,yes,no,no,no,no,no
192,5353,329.17103995249425,-4.775082627382904,0.3809844630095616,0.09869202210053771,12.880996704101562,no,no,yes,no,no,no,no,no
193,5353,329.12392322222166,-4.830244717802266,4.029863497758919,0.255601549777999,6.9471940994262695,no,no,no,no,no,no,no,no
194,5353,329.1912421894006,-4.829679776416209,3.53231012688953,0.21870260160511765,9.64398193359375,no,no,yes,no,no,no,no,no
195,5353,329.1120114593499,-4.777916257577051,3.165939202272252,0.2421866561968808,8.969482421875,no,no,yes,no,no,no,no,no
196,5353,329.0832466563405,-4.718023904714831,6.0309162728529,0.2494808599180393,29.438222885131836,no,no,yes,no,no,no,no,no
197,5353,329.15279214905576,-4.694860356453768,4.979237071565139,0.32036464225730654,17.262117385864258,no,no,no,no,no,no,no,no
198,5353,329.10020743566906,-4.706785144976104,5.719699244837078,0.3080793513634356,22.871658325195312,no,no,yes,no,no,no,no,no
199,5353,329.1638521731146,-4.674168909191007,6.167697773986367,0.36154245446724037,22.978700637817383,no,no,no,no,no,no,no,no
200,5353,329.14679567885213,-4.865825210174103,5.441411923768792,0.4188100330102115,3.873497486114502,no,no,no,no,no,no,no,no
